¡¶¡∂ªÁ,∏µ®∏Ì,OS(Platfrom_Name),OS,øµπÆ ∏µ®∏Ì(Pet_Name),Pet_Name,phone_img
Samsung,YP-GP1,Android,4.0.4,Galaxy Player,∞∂∑∞Ω√ «√∑π¿ÃæÓ,
Samsung,YP-GI2,Android,4.1.2,Galaxy 070,Ω∫∏∂∆Æ»®∆˘2,
Samsung,SM-T805K,Android,6.0,Galaxy TabS,∞∂∑∞Ω√≈«S 10.5,
Samsung,SM-T805K,Android,5.0.2,Galaxy TabS,∞∂∑∞Ω√≈«S 10.5,
Samsung,SM-T805K,Android,4.4.4,Galaxy TabS,∞∂∑∞Ω√≈«S 10.5,
Samsung,SM-T677NK,Android,5.1.1,Galaxy View,∞∂∑∞Ω√ ∫‰,
Samsung,SM-T505N,Android,10.0 ,Galaxy Tab A7,∞∂∑∞Ω√ ≈« A7,
Samsung,SM-T378K,Android,6.0.1,Galaxy Tab E Black,∞∂∑∞Ω√ ≈« E Black,
Samsung,SM-T335K,Android,5.1.1,Galaxy Tab4 8.0,∞∂∑∞Ω√≈«4 8.0,
Samsung,SM-T335K,Android,4.4.2,Galaxy Tab4 8.0,∞∂∑∞Ω√≈«4 8.0,
Samsung,SM-P605K,Android,4.4.2,Galaxy Note10.1,∞∂∑∞Ω√ ≥Î∆Æ10.1,
Samsung,SM-P605K,Android,4.3,Galaxy Note10.1,∞∂∑∞Ω√ ≥Î∆Æ10.1,
Samsung,SM-P555K,Android,5.0.2,Galaxy Tab A,∞∂∑∞Ω√ ≈« A,
Samsung,SM-N986N,Android,11.0 ,Galaxy Note20 Ultra 5G,∞∂∑∞Ω√ ≥Î∆Æ20 Ultra 5G,
Samsung,SM-N981N,Android,12.0 ,Galaxy Note20 5G,∞∂∑∞Ω√ ≥Î∆Æ20 5G,
Samsung,SM-N981N,Android,11.0 ,Galaxy Note20 5G,∞∂∑∞Ω√ ≥Î∆Æ20 5G,
Samsung,SM-N981N,Android,10.0 ,Galaxy Note20 5G,∞∂∑∞Ω√ ≥Î∆Æ20 5G,
Samsung,SM-N976N(C≈∏¿‘),Android,10.0 ,Galaxy Note10+ 5G,∞∂∑∞Ω√ ≥Î∆Æ10+ 5G,
Samsung,SM-N976N(C≈∏¿‘),Android,9.0 ,Galaxy Note10+ 5G,∞∂∑∞Ω√ ≥Î∆Æ10+ 5G,
Samsung,SM-N971N(C≈∏¿‘),Android,11.0 ,Galaxy Note10 5G,∞∂∑∞Ω√ ≥Î∆Æ10 5G,
Samsung,SM-N971N(C≈∏¿‘),Android,10.0 ,Galaxy Note10 5G,∞∂∑∞Ω√ ≥Î∆Æ10 5G,
Samsung,SM-N971N(C≈∏¿‘),Android,10.0 ,Galaxy Note10 5G,∞∂∑∞Ω√ ≥Î∆Æ10 5G,
Samsung,SM-N971N(C≈∏¿‘),Android,9.0 ,Galaxy Note10 5G,∞∂∑∞Ω√ ≥Î∆Æ10 5G,
Samsung,SM-N960N(≈∏ªÁ),Android,10.0,Galaxy Note9,∞∂∑∞Ω√ ≥Î∆Æ9,
Samsung,SM-N960N(≈∏ªÁ),Android,8.1,Galaxy Note9,∞∂∑∞Ω√ ≥Î∆Æ9,
Samsung,SM-N960N(C≈∏¿‘),Android,9.0,Galaxy Note9,∞∂∑∞Ω√ ≥Î∆Æ9,
Samsung,SM-N960N(C≈∏¿‘),Android,8.1.0,Galaxy Note9,∞∂∑∞Ω√ ≥Î∆Æ9,
Samsung,SM-N950N(≈∏ªÁ),Android,7.1.1,Galaxy Note8,∞∂∑∞Ω√ ≥Î∆Æ8,
Samsung,SM-N950N(C≈∏¿‘),Android,7.1.1,Galaxy Note8,∞∂∑∞Ω√ ≥Î∆Æ8,
Samsung,SM-N950N(C≈∏¿‘),Android,8.0,Galaxy Note8,∞∂∑∞Ω√ ≥Î∆Æ8,
Samsung,SM-N935K,Android,9.0,Galaxy Note FE,∞∂∑∞Ω√ ≥Î∆Æ FE(Fan Edition),
Samsung,SM-N935K,Android,7.0,Galaxy Note FE,∞∂∑∞Ω√ ≥Î∆Æ FE(Fan Edition),
Samsung,SM-N920K(C≈∏¿‘),Android,7.0,Galaxy Note5,∞∂∑∞Ω√ ≥Î∆Æ5,
Samsung,SM-N920K(C≈∏¿‘),Android,6.0.1,Galaxy Note5,∞∂∑∞Ω√ ≥Î∆Æ5,
Samsung,SM-N916K_3CA,Android,6.0.1,Galaxy Note4 S-LTE,∞∂∑∞Ω√ ≥Î∆Æ4 S-LTE,
Samsung,SM-N916K_3CA,Android,5.1.1,Galaxy Note4 S-LTE,∞∂∑∞Ω√ ≥Î∆Æ4 S-LTE,
Samsung,SM-N916K_3CA,Android,5.0.1,Galaxy Note4 S-LTE,∞∂∑∞Ω√ ≥Î∆Æ4 S-LTE,
Samsung,SM-N915K,Android,5.1.1,Galaxy Note Edge,∞∂∑∞Ω√ ≥Î∆Æ Edge,
Samsung,SM-N915K,Android,4.4.4,Galaxy Note Edge,∞∂∑∞Ω√ ≥Î∆Æ Edge,
Samsung,SM-N910K(C≈∏¿‘),Android,5.0,Galaxy Note4,∞∂∑∞Ω√ ≥Î∆Æ4,
Samsung,SM-N910K(B≈∏¿‘),Android,5.1.1,Galaxy Note4,∞∂∑∞Ω√ ≥Î∆Æ4,
Samsung,SM-N910K(B≈∏¿‘),Android,5.0.1,Galaxy Note4,∞∂∑∞Ω√ ≥Î∆Æ4,
Samsung,SM-N910K(B≈∏¿‘),Android,4.4.4,Galaxy Note4,∞∂∑∞Ω√ ≥Î∆Æ4,
Samsung,SM-N900S(≈∏ªÁ),Android,5.0,Galaxy Note3,∞∂∑∞Ω√ ≥Î∆Æ3,
Samsung,SM-N900K(C≈∏¿‘),Android,5.0,Galaxy Note3,∞∂∑∞Ω√ ≥Î∆Æ3,
Samsung,SM-N900K(C≈∏¿‘),Android,4.4.2,Galaxy Note3,∞∂∑∞Ω√ ≥Î∆Æ3,
Samsung,SM-N750K,Android,5.1.1,Galaxy Note3 NEO,∞∂∑∞Ω√ ≥Î∆Æ3 NEO,
Samsung,SM-N750K,Android,4.4.2,Galaxy Note3 NEO,∞∂∑∞Ω√ ≥Î∆Æ3 NEO,
Samsung,SM-J730K,Android,8.1,Galaxy J7,∞∂∑∞Ω√ J7 (2017),
Samsung,SM-J730K,Android,7.0,Galaxy J7,∞∂∑∞Ω√ J7 (2017),
Samsung,SM-J710K,Android,8.1,Galaxy J7,∞∂∑∞Ω√ J7 (2016),
Samsung,SM-J710K,Android,6.0,Galaxy J7,∞∂∑∞Ω√ J7 (2016),
Samsung,SM-J700K,Android,5.1.1,Galaxy J7,∞∂∑∞Ω√ J7,
Samsung,SM-J530K,Android,7.0,Galaxy J5,∞∂∑∞Ω√ J5 (2017),
Samsung,SM-J510K,Android,6.0.1,Galaxy J5,∞∂∑∞Ω√ J5,
Samsung,SM-J510K,Android,6.0,Galaxy J5,∞∂∑∞Ω√ J5,
Samsung,SM-G998N,Android,12.0 ,Galaxy S21 Ultra,∞∂∑∞Ω√ S21 Ultra,
Samsung,SM-G996N,Android,12.0 ,Galaxy S21+,∞∂∑∞Ω√ S21+,
Samsung,SM-G991N,Android,12.0 ,Galaxy S21,∞∂∑∞Ω√ S21,
Samsung,SM-G988N,Android,11.0 ,Galaxy S20 Ultra 5G,∞∂∑∞Ω√S20 Ultra 5G,
Samsung,SM-G986N,Android,11.0 ,Galaxy S20+ 5G,∞∂∑∞Ω√S20+ 5G,
Samsung,SM-G981N,Android,11.0 ,Galaxy S20 5G,∞∂∑∞Ω√S20 5G,
Samsung,SM-G981N,Android,10.0 ,Galaxy S20 5G,∞∂∑∞Ω√S20 5G,
Samsung,SM-G977N(C≈∏¿‘),Android,10.0 ,Galaxy S10 X,∞∂∑∞Ω√S10 X,
Samsung,SM-G975N(C≈∏¿‘),Android,10.0 ,Galaxy S10+,∞∂∑∞Ω√ S10+,
Samsung,SM-G973N(C≈∏¿‘),Android,11.0 ,Galaxy S10,∞∂∑∞Ω√ S10,
Samsung,SM-G973N(C≈∏¿‘),Android,10.0 ,Galaxy S10,∞∂∑∞Ω√ S10,
Samsung,SM-G970N(C≈∏¿‘),Android,10.0 ,Galaxy S10e,∞∂∑∞Ω√ S10e,
Samsung,SM-G970N(C≈∏¿‘),Android,9.0 ,Galaxy S10e,∞∂∑∞Ω√ S10e,
Samsung,SM-G965N(C≈∏¿‘),Android,8.0.0,Galaxy S9+,∞∂∑∞Ω√ S9+,
Samsung,SM-G965N(C≈∏¿‘),Android,10.0,Galaxy S9+,∞∂∑∞Ω√ S9+,
Samsung,SM-G960N(C≈∏¿‘),Android,8.0.0,Galaxy S9,∞∂∑∞Ω√ S9,
Samsung,SM-G960N(C≈∏¿‘),Android,10.0,Galaxy S9,∞∂∑∞Ω√ S9,
Samsung,SM-G960N(C≈∏¿‘),Android,9.0,Galaxy S9,∞∂∑∞Ω√ S9,
Samsung,SM-G955N(C≈∏¿‘),Android,9.0,Galaxy S8+,∞∂∑∞Ω√ S8+,
Samsung,SM-G955N(C≈∏¿‘),Android,8.0,Galaxy S8+,∞∂∑∞Ω√ S8+,
Samsung,SM-G950S(≈∏ªÁ),Android,7.0,Galaxy S8,∞∂∑∞Ω√ S8,
Samsung,SM-G950N(C≈∏¿‘),Android,9.0,Galaxy S8,∞∂∑∞Ω√ S8,
Samsung,SM-G950N(C≈∏¿‘),Android,8.0,Galaxy S8,∞∂∑∞Ω√ S8,
Samsung,SM-G950L(≈∏ªÁ),Android,8.0,Galaxy S8,∞∂∑∞Ω√ S8,
Samsung,SM-G935K(C≈∏¿‘),Android,8.0,Galaxy S7 Edge,∞∂∑∞Ω√ S7 Edge,
Samsung,SM-G935K(C≈∏¿‘),Android,7.0,Galaxy S7 Edge,∞∂∑∞Ω√ S7 Edge,
Samsung,SM-G935K(B≈∏¿‘),Android,6.0.1,Galaxy S7 Edge,∞∂∑∞Ω√ S7 Edge,
Samsung,SM-G930S(≈∏ªÁ),Android,6.0.1,Galaxy S7,∞∂∑∞Ω√ S7,
Samsung,SM-G930K(C≈∏¿‘),Android,7.0,Galaxy S7,∞∂∑∞Ω√ S7,
Samsung,SM-G930K(B≈∏¿‘),Android,7.0,Galaxy S7,∞∂∑∞Ω√ S7,
Samsung,SM-G928K(C≈∏¿‘),Android,6.0.1,Galaxy S6 Edge+,∞∂∑∞Ω√ S6 Edge +,
Samsung,SM-G925K(C≈∏¿‘),Android,7.0,Galaxy S6 Edge,∞∂∑∞Ω√ S6 øß¡ˆ,
Samsung,SM-G925K(C≈∏¿‘),Android,6.0.1,Galaxy S6 Edge,∞∂∑∞Ω√ S6 øß¡ˆ,
Samsung,SM-G920K(C≈∏¿‘),Android,6.0.1,Galaxy S6,∞∂∑∞Ω√ S6,
Samsung,SM-G920K(C≈∏¿‘),Android,6.0,Galaxy S6,∞∂∑∞Ω√ S6,
Samsung,SM-G920K(C≈∏¿‘),Android,7.0,Galaxy S6,∞∂∑∞Ω√ S6,
Samsung,SM-G906K,Android,6.0.1,Galaxy S5 LTE-A,∞∂∑∞Ω√ S5 LTE-A,
Samsung,SM-G906K,Android,5.0,Galaxy S5 LTE-A,∞∂∑∞Ω√ S5 LTE-A,
Samsung,SM-G906K,Android,4.4.2,Galaxy S5 LTE-A,∞∂∑∞Ω√ S5 LTE-A,
Samsung,SM-G900K(C≈∏¿‘),Android,6.0.1,Galaxy S5,∞∂∑∞Ω√ S5,
Samsung,SM-G900K(C≈∏¿‘),Android,5.0,Galaxy S5,∞∂∑∞Ω√ S5,
Samsung,SM-G900K(B≈∏¿‘),Android,5.0,Galaxy S5,∞∂∑∞Ω√ S5,
Samsung,SM-G900K(B≈∏¿‘),Android,4.4.2,Galaxy S5,∞∂∑∞Ω√ S5,
Samsung,SM-G850K,Android,5.0.2,Galaxy ALPHA,∞∂∑∞Ω√ æÀ∆ƒ,
Samsung,SM-G850K,Android,4.4.4,Galaxy ALPHA,∞∂∑∞Ω√ æÀ∆ƒ,
Samsung,SM-G781N,Android,10.0 ,Galaxy S20 FE 5G,∞∂∑∞Ω√ S20 FE 5G,
Samsung,SM-G610K,Android,7.0.0,Galaxy J7 Prime,∞∂∑∞Ω√ J7 Prime,
Samsung,SM-G610K,Android,6.0.1,Galaxy J7 Prime,∞∂∑∞Ω√ J7 Prime,
Samsung,SM-G150NK,Android,5.1.1,Galaxy Folder,∞∂∑∞Ω√∆˙¥ı,
Samsung,SM-F926N,Android,11.0 ,Galaxy Z Fold3 5G,∞∂∑∞Ω√ Z Fold3 5G,
Samsung,SM-F916N,Android,11.0 ,Galaxy Z Fold2,∞∂∑∞Ω√ Z ∆˙µÂ2 5G,
Samsung,SM-F916N,Android,10.0 ,Galaxy Z Fold2,∞∂∑∞Ω√ Z ∆˙µÂ2 5G,
Samsung,SM-F907N(B≈∏¿‘),Android,10.0 ,Galaxy Fold 5G,Winner,
Samsung,SM-F907N(B≈∏¿‘),Android,9.0 ,Galaxy Fold 5G,Winner,
Samsung,SM-F711N,Android,12.0 ,Galaxy Z Flip3 5G,∞∂∑∞Ω√ Z Flip3 5G,
Samsung,SM-F707N,Android,11.0 ,Galaxy Z Flip 5G,∞∂∑∞Ω√ Z Flip 5G,
Samsung,SM-F700N,Android,11.0 ,Galaxy Z Flip,∞∂∑∞Ω√ Z Flip,
Samsung,SM-F700N,Android,10.0 ,Galaxy Z Flip,∞∂∑∞Ω√ Z Flip,
Samsung,SM-C105K,Android,4.2.2,Galaxy S4 Zoom,Galaxy S4 Zoom,
Samsung,SM-A908N,Android,11.0 ,Galaxy A90 5G,∞∂∑∞Ω√ A90 5G,
Samsung,SM-A908N,Android,10.0 ,Galaxy A90 5G,∞∂∑∞Ω√ A90 5G,
Samsung,SM-A710K,Android,5.1.1,Galaxy A7,∞∂∑∞Ω√ A7 (2016),
Samsung,SM-A700K,Android,4.4.4,Galaxy A7,∞∂∑∞Ω√ A7,
Samsung,SM-A530N,Android,7.1.1,Galaxy A8,∞∂∑∞Ω√ A8(2018),
Samsung,SM-A520K,Android,6.0.1,Galaxy A5,∞∂∑∞Ω√ A5(2017),
Samsung,SM-A520K,Android,7.0,Galaxy A5,∞∂∑∞Ω√ A5(2017),
Samsung,SM-A516N,Android,11.0 ,Galaxy A51 5G,∞∂∑∞Ω√ A51 5G,
Samsung,SM-A510K,Android,5.1.1,Galaxy A5,∞∂∑∞Ω√ A5 (2016),
Samsung,SM-A500K,Android,5.0.2,Galaxy A5,∞∂∑∞Ω√ A5,
Samsung,SM-A500K,Android,4.4.4,Galaxy A5,∞∂∑∞Ω√ A5,
Samsung,SM-A426N,Android,11.0 ,Galaxy A42 5G,∞∂∑∞Ω√ A42 5G,
Samsung,SM-A325N,Android,11.0 ,Galaxy A32,∞∂∑∞Ω√ A32,
Samsung,SM-A315N,Android,10.0 ,Galaxy A31,∞∂∑∞Ω√ A31,
Samsung,SM-A217N,Android,11.0 ,Galaxy A21s,∞∂∑∞Ω√ A21s,
Samsung,SM-A125N,Android,10.0 ,Galaxy A12,∞∂∑∞Ω√ A12,
Samsung,SM-A102N(¿⁄±ﬁ¡¶),Android,10.0 ,Galaxy A10e,∞∂∑∞Ω√ A10e,
Samsung,SHW-M485W,Android,4.1.2,Galaxy Note 10.1,Ω∫∏∂∆Æ»®∆–µÂ2,
Samsung,SHW-M305KW,Android,4.0.4,Galasy Tab 8.9,∞∂∑∞Ω√≈« 8.9 (wifiπˆ¿¸),
Samsung,SHV-E400K,Android,4.2.2,Galaxy GOLDEN,∞∂∑∞Ω√ ∞ÒµÁ,
Samsung,SHV-E370K,Android,4.4.4,Galaxy S4 MINI,∞∂∑∞Ω√ S4 πÃ¥œ,
Samsung,SHV-E330K,Android,4.3,Galaxy S4 LTE-A,∞∂∑∞Ω√ S4 LTE-A,
Samsung,SHV-E310K,Android,4.4.2,Galaxy MEGA,∞∂∑∞Ω√ ∏ﬁ∞°,
Samsung,SHV-E310K,Android,4.2.2,Galaxy MEGA,∞∂∑∞Ω√ ∏ﬁ∞°,
Samsung,SHV-E300K,Android,4.4.2,Galaxy S4,∞∂∑∞Ω√ S4,
Samsung,SHV-E300K,Android,4.3,Galaxy S4,∞∂∑∞Ω√ S4,
Samsung,SHV-E300K,Android,4.2.2,Galaxy S4,∞∂∑∞Ω√ S4,
Samsung,SHV-E270K,Android,4.1.2,Galaxy GRAND,∞∂∑∞Ω√ ±◊∑£µÂ,
Samsung,SHV-E250K,Android,4.4.2,Galaxy Note2,∞∂∑∞Ω√ ≥Î∆Æ2,
Samsung,SHV-E230K,Android,4.1.2,Galaxy Note 10.1,Note 10.1 LTE,
Samsung,SHV-E210K,Android,4.4.4,Galaxy S3,∞∂∑∞Ω√ S3,
Samsung,SHV-E210K,Android,4.0.4,Galaxy S3,∞∂∑∞Ω√ S3,
Samsung,EK-KC120K,Android,4.1.2,Galaxy Camera,∞∂∑∞Ω√ƒ´∏ﬁ∂Û,
Samsung,EK-KC120K,Android,4.1.1,Galaxy Camera,∞∂∑∞Ω√ƒ´∏ﬁ∂Û,
LG,Nexus5,Android,6.0.1,Nexus5,Nexus5,
LG,Nexus5,Android,6.0,Nexus5,Nexus5,
LG,LM-V510N(C≈∏¿‘),Android,10.0 , V50S ThinQ Dual Screen,V50S ThinQ,
LG,LM-V500N,Android,10.0 ,V50 ThinQ,V50 ThinQ,
LG,LM-V409N,Android,8.1.0,V40 ThinQ,V40 ThinQ,
LG,LM-Q510N,Android,10.0 ,Q51,Q51,
LG,LM-Q510N,Android,9.0 ,Q51,Q51,
LG,LM-G900N,Android,10.0 ,LG VELVET,LG VELVET,
LG,LM-G820N,Android,10.0 ,G8 ThinQ,G8 ThinQ,
LG,LM-G710N,Android,8.0.0,G7 ThinQ,G7 ThinQ,
LG,LM-G710N,Android,9.0,G7 ThinQ,G7 ThinQ,
LG,LM-F100N,Android,10.0 ,LG WING,WING,
LG,LGM-X600K,Android,8.1,Q6,Q6,
LG,LGM-X600K,Android,7.1.1,Q6,Q6,
LG,LGM-X320K,Android,8.1,LG X500,LG X500,
LG,LGM-X320K,Android,7.0,LG X500,LG X500,
LG,LGM-V300K,Android,9.0,V30,V30,
LG,LGM-V300K,Android,8.0,V30,V30,
LG,LGM-K121K,Android,7.0,X400,LG K10(2017),
LG,LGM-K120K,Android,7.0,X300,LG X300,
LG,LGM-G600K,Android,7.0,G6,G6,
LG,LG-H791,Android,8.1,Nexus 5X,Nexus 5X,
LG,LG-H791,Android,8.0,Nexus 5X,Nexus 5X,
LG,LG-F800K(C≈∏¿‘),Android,7.0,V20,V20,
LG,LG-F750K,Android,6.0.1,X Power,LG X Power,
LG,LG-F720K,Android,7.0,Stylus 2,Stylus 2,
LG,LG-F720K,Android,6.0.1,Stylus 2,Stylus 2,
LG,LG-F700K(C≈∏¿‘),Android,7.0,G5,G5,
LG,LG-F690K,Android,6.0,X CAM,X CAM,
LG,LG-F670K,Android,5.1.1,K10,LG K10,
LG,LG-F650K,Android,6.0.1,X screen,X screen,
LG,LG-F620K,Android,6.0,LG Class,LG Class,
LG,LG-F620K,Android,5.1.1,LG Class,LG Class,
LG,LG-F610K,Android,5.1.1,LG Wine Smart Jazz,wine smart jazz,
LG,LG-F600K,Android,5.1.1,V10,v10,
LG,LG-F560K,Android,5.0.2,LG G stylo,LG G stylo,
LG,LG-F560K,Android,6.0,LG G stylo,LG G stylo,
LG,LG-F540K,Android,5.0.2,LG Volt LTE,Volt LTE,
LG,LG-F520K,Android,5.0.2,AKA,AKA,
LG,LG-F520K,Android,4.4.2,AKA,AKA,
LG,LG-F510K,Android,5.1.1,LG G Flex2,LG G Flex2,
LG,LG-F500K,Android,6.0,LG G4,LG G4,
LG,LG-F500K,Android,5.1,LG G4,LG G4,
LG,LG-F480K,Android,4.4.2,Wine Smart,øÕ¿Œ Ω∫∏∂∆Æ,
LG,LG-F470K,Android,5.0.2,LG G3 Beat,LG G3 Beat,
LG,LG-F460K,Android,6.0,LG G3 Cat.6,LG G3 Cat.6,
LG,LG-F460K,Android,5.0.1,LG G3 Cat.6,LG G3 Cat.6,
LG,LG-F400K,Android,5.0,LG G3,LG G3,
LG,LG-F370K,Android,4.4.2,LG F70,LG F70,
LG,LG-F350K,Android,5.0.1,LG G Pro2,LG G Pro2,
LG,LG-F340K,Android,4.2.2,LG G Flex,LG G Flex,
LG,LG-F320K,Android,4.4.2,G2,LG G2,
LG,LG-F300K,Android,4.4.2,LG Vu3,LG Vu3,
LG,LG-F220K,Android,4.4.2,LG optimus GK,ø…∆º∏”Ω∫ GK,
LG,LG-F220K,Android,4.1.2,LG optimus GK,ø…∆º∏”Ω∫ GK,
LG,LG-F180K,Android,4.0.4,LG optimus G,ø…∆º∏”Ω∫ G,
LG,LG-D329,Android,4.4.2,LG L70,LG L70,
GOOGLE,Pixel 3,Android,12.0 ,Pixel 3,«»ºø3,
GOOGLE,Pixel 2,Android,11.0,Pixel 2,«»ºø2,
Apple,-,iOS,5.3.1,Apple Watch 2,Apple Watch 2,
Apple,AW4C-44ASBB,iOS,-,Apple Watch 4,Apple Watch 4,
Apple,AW4C-44ASBB,iOS,5.1.1,Apple Watch 4,Apple Watch 4,
Apple,PTA-TYPE0,iOS,4.2.1 ,iPad 1,iPad 1,
Apple,PTA-TYPE0,iOS,5.0,iPad 1,iPad 1,
Apple,PTA-TYPE0,iOS,5.0.1,iPad 1,iPad 1,
Apple,PTA-TYPE0,iOS,5.1.1,iPad 1,iPad 1,
Apple,IPAD2-16W,iOS,5.1.1,iPad 2,iPad 2,
Apple,IPAD2-16W,iOS,6.1.3,iPad 2,iPad 2,
Apple,IPAD2-16W,iOS,7.0.4,iPad 2,iPad 2,
Apple,IPAD2-16W,iOS,7.0.6,iPad 2,iPad 2,
Apple,IPAD2-16W,iOS,8.0,iPad 2,iPad 2,
Apple,IPADA-16SG,iOS,11.2.6,iPad Air,iPad Air,
Apple,IPADA-16SG,iOS,8.4,iPad Air,iPad Air,
Apple,-,iOS,14.4.1,iPad Air 2,iPad Air 2,
Apple,IPADM-L16,iOS,6.1.2,iPad Mini,iPad Mini,
Apple,IPADM-L16,iOS,6.1.3,iPad Mini,iPad Mini,
Apple,IPADM-L16,iOS,7.0,iPad Mini,iPad Mini,
Apple,IPADM-L16,iOS,7.0.4,iPad Mini,iPad Mini,
Apple,IPADM3-16SG,iOS,11.3,iPad mini 3,iPad mini 3,
Apple,-,iOS,14.4.1,iPad mini 4,iPad mini 4,
Apple,IPADMR-16SG,iOS,11.2,iPad mini retina,iPad mini retina,
Apple,IPADMR-16SG,iOS,11.2.6,iPad mini retina,iPad mini retina,
Apple,IPADMR-16SG,iOS,9.0,iPad mini retina,iPad mini retina,
Apple,-,iOS,13.5,iPad Pro,iPad Pro,
Apple,-,iOS,15.0,iPad Pro,iPad Pro,
Apple,-,iOS,12.4.1,iPad Pro,iPad Pro,
Apple,-,iOS,9.3.1,iPad Pro 9.7,iPad Pro 9.7,
Apple,IPAD4-L16,iOS,10.3.3,iPad Retina,iPad Retina,
Apple,IPAD4-L16,iOS,6.0.1,iPad Retina,iPad Retina,
Apple,IPAD4-L16,iOS,6.1.3,iPad Retina,iPad Retina,
Apple,IPAD4-L16,iOS,9.0,iPad Retina,iPad Retina,
Apple,AIP11-256,iOS,15.2,iPhone 11,iPhone 11,
Apple,AIP11P-64,iOS,14.7,iPhone 11 Pro,iPhone 11 Pro,
Apple,MGMN3KH/A,iOS,15.0 ,iPhone 12 Pro,iPhone 12 Pro,
Apple,-,iOS,15.2,iPhone 13,iPhone 13,
Apple,-,iOS,15.2,iPhone 13 mini,iPhone 13 mini,
Apple,AIP-R16,iOS,4.2.1,iPhone 3GS,iPhone 3GS,
Apple,AIP-R16,iOS,4.3.3,iPhone 3GS,iPhone 3GS,
Apple,AIP-R16,iOS,5.1.1,iPhone 3GS,iPhone 3GS,
Apple,AIP-R16,iOS,6.0,iPhone 3GS,iPhone 3GS,
Apple,AIP-R16,iOS,6.0,iPhone 3GS,iPhone 3GS,
Apple,AIP-R16,iOS,6.1.3,iPhone 3GS,iPhone 3GS,
Apple,AIP-R16,iOS,6.1.3,iPhone 3GS,iPhone 3GS,
Apple,AIP4-32,iOS,4.3.5,iPhone 4,iPhone 4,
Apple,AIP4-32,iOS,5.1.1,iPhone 4,iPhone 4,
Apple,AIP4-32,iOS,6.0,iPhone 4,iPhone 4,
Apple,AIP4-32,iOS,6.0.1,iPhone 4,iPhone 4,
Apple,AIP4-32,iOS,7.0.2 ,iPhone 4,iPhone 4,
Apple,AIP4-32,iOS,7.1,iPhone 4,iPhone 4,
Apple,AIP4-32,iOS,7.1.2,iPhone 4,iPhone 4,
Apple,AIP4-32,iOS,7.1.2,iPhone 4,iPhone 4,
Apple,AIP4-32,iOS,7.1.2,iPhone 4,iPhone 4,
Apple,AIP4-32,iOS,7.1.2,iPhone 4,iPhone 4,
Apple,AIP4-W16S,iOS,7.0.3,iPhone 4S,iPhone 4S,
Apple,AIP4-W16S,iOS,7.1,iPhone 4S,iPhone 4S,
Apple,AIP4-W16S,iOS,9.0,iPhone 4S,iPhone 4S,
Apple,AIP4-W16S,iOS,9.3.5,iPhone 4S,iPhone 4S,
Apple,PTA-TYPE3,iOS,10.3,iPhone 5,iPhone 5,
Apple,PTA-TYPE3,iOS,10.0.2,iPhone 5,iPhone 5,
Apple,PTA-TYPE3,iOS,6.1.4,iPhone 5,iPhone 5,
Apple,AIP5C-16P,iOS,10.0.2,iPhone 5C,iPhone 5C,
Apple,AIP5C-16P,iOS,10.3.2,iPhone 5C,iPhone 5C,
Apple,AIP5S-16SG,iOS,8.1.3,iPhone 5S,iPhone 5S,
Apple,AIP6-16GD,iOS,8.4.1,iPhone 6,iPhone 6,
Apple,OPENMODEL2,iOS,9.3.1,iPhone 6,iPhone 6,
Apple,OPENMODEL2,iOS,12.1,iPhone 6+,iPhone 6+,
Apple,-,iOS,14.1,iPhone 6S,iPhone 6S,
Apple,AIP6S-16RG,iOS,12.4.1,iPhone 6S,iPhone 6S,
Apple,AIP6SP-16GD,iOS,11.4,iPhone 6S+,iPhone 6S+,
Apple,AIP6SP-16GD,iOS,14.0,iPhone 6S+,iPhone 6S+,
Apple,128G,iOS,13.4.2,iPhone 6S+,iPhone 6S+,
Apple,AIP6SP-16GD,iOS,13.5.1,iPhone 6S+,iPhone 6S+,
Apple,AIP7-32RG,iOS,14.0,iPhone 7,iPhone 7,
Apple,AIP7P-32RG,iOS,15.1,iPhone 7+,iPhone 7+,
Apple,-,iOS,12.3.1,iPhone 7+,iPhone 7+,
Apple,AIP8-64GD,iOS,13.5,iPhone 8,iPhone 8,
Apple,AIP8-64GD,iOS,11.4.1,iPhone 8,iPhone 8,
Apple,AIP8P-64GD,iOS,14.1,iPhone 8+,iPhone 8+,
Apple,AIP8P-64GD,iOS,14.3,iPhone 8+,iPhone 8+,
Apple,AIP8P-64GD,iOS,13.5.1,iPhone 8+,iPhone 8+,
Apple,-,iOS,12.4,iPhone SE,iPhone SE,
Apple,-,iOS,10.3.3,iPhone SE,iPhone SE,
Apple,AIPX-64SV,iOS,13.6,iPhone X,iPhone X,
Apple,AIPX-64SV,iOS,15.2,iPhone X,iPhone X,
Apple,AIPX-256SG,iOS,-,iPhone X,iPhone X,
Apple,AIPX-256SG,iOS,11.1.2,iPhone X,iPhone X,
Apple,AIPXR-64,iOS,13.5.1,iPhone XR,iPhone XR,
Apple,AIPXR-256,iOS,15.0.2,iPhone XR,iPhone XR,
Apple,AIPXS-64,iOS,14.0,iPhone XS,iPhone XS,
Apple,AIPXS-64,iOS,15.0.2,iPhone XS,iPhone XS,
Apple,AIPXSM-64,iOS,15.2,iPhone XS MAX,iPhone XS MAX,
Apple,AIPXSM-256,iOS,15.0.2,iPhone XS MAX,iPhone XS MAX,
